0:6,02:5,11:False
0,4342812:1:0
0,4530948:1:1
0,564394:6,02:5,06:False
0,6407061:0:1
0,5724163:6,02:5,04:False
0,7051172:0:0
0,5804775:6,02:5,02:False
2,38422:0:-1
0,5890625:5,98:4,98:False
2,487754:0:0
0,5972787:5,96:4,98:False
2,668236:-1:0
0,6035073:5,96:4,96:False
2,790496:0:0
0,6182195:5,92:4,91:False
4,513877:1:0
0,6361064:5,92:4,89:False
4,593497:0:0
0,6561462:5,92:4,85:False
0,670357:5,92:4,83:False
0,6758727:5,89:4,83:False
0,6813062:5,89:4,81:False
0,6873075:5,89:4,76:False
0,6922829:5,89:4,74:False
0,6976216:5,89:4,7:False
0,7115363:5,89:4,59:False
0,7170137:5,89:4,53:False
0,7236203:5,89:4,49:False
0,7301081:5,89:4,42:False
0,7354103:5,89:4,4:False
0,7409884:5,89:4,34:False
0,7487618:5,89:4,25:False
0,7654427:5,89:4,1:False
0,7729858:5,94:4,02:False
0,778031:5,94:3,95:False
0,7856122:5,94:3,84:False
0,7924343:5,96:3,76:False
0,7973241:5,96:3,67:False
0,8033756:6:3,59:False
0,8091768:6:3,48:False
0,818097:6,02:3,31:False
0,8253957:6,04:3,18:False
0,8310484:6,04:3,09:False
0,8368255:6,09:3,01:False
0,8470334:6,09:2,82:False
0,8544995:6,09:2,73:False
0,8634399:6,09:2,65:False
0,8696412:6,09:2,52:False
0,8746892:6,09:2,43:False
0,880006:6,06:2,37:False
0,8864254:6,04:2,3:False
0,8944412:5,98:2,2:False
0,9000195:5,96:2,11:False
0,9094406:5,89:2,02:False
0,9154233:5,83:1,96:False
0,9252485:5,74:1,87:False
0,9311563:5,66:1,83:False
0,9392768:5,53:1,75:False
0,944975:5,44:1,72:False
0,9549941:5,23:1,66:False
0,9622599:5,1:1,6:False
0,9708689:4,91:1,55:False
0,9773391:4,78:1,53:False
1,020797:3,73:1,4:False
1,03158:3,45:1,4:False
1,039851:3,18:1,4:False
1,047533:2,96:1,43:False
1,056824:2,68:1,49:False
1,063712:2,47:1,51:False
1,072041:2,28:1,58:False
1,086893:1,68:1,7:False
1,094441:1,46:1,75:False
1,102356:1,27:1,81:False
1,109827:1,1:1,81:False
1,115796:1,03:1,81:False
1,130945:0,91:1,83:True
1,217292:0,91:1,83:False
1,222968:0,93:1,83:False
1,229049:0,97:1,85:False
1,246179:1,29:1,98:False
1,256165:1,53:2,11:False
1,274072:2,08:2,26:False
1,285608:2,49:2,35:False
1,291254:2,64:2,39:False
1,296497:2,73:2,41:False
1,304317:2,98:2,45:False
1,315207:3,2:2,45:False
1,32029:3,26:2,45:False
1,326954:3,32:2,45:False
1,332059:3,35:2,43:False
1,359268:3,35:2,41:False
1,366635:3,35:2,37:False
1,37206:3,3:2,35:False
1,378489:3,24:2,28:False
1,384425:3,18:2,26:False
1,390128:3,13:2,2:False
1,397134:3,03:2,13:False
1,40816:2,88:2:False
1,413318:2,81:1,94:False
1,420284:2,66:1,85:False
1,426293:2,55:1,79:False
1,43364:2,43:1,7:False
1,442014:2,23:1,62:False
1,450458:2,13:1,49:False
1,457353:1,98:1,4:False
1,464512:1,87:1,34:False
1,471627:1,78:1,25:False
1,479079:1,7:1,19:True
1,488013:1,63:1,1:True
1,495532:1,59:1,04:True
1,5046:1,59:1:True
1,533961:1,59:0,98:True
1,564924:1,61:0,93:False
1,570763:1,63:0,93:False
1,575925:1,68:0,93:False
1,591035:1,89:0,91:False
1,597699:2:0,91:False
1,603637:2,1:0,91:False
1,614883:2,4:0,91:False
1,622868:2,62:0,91:False
1,629858:2,88:0,95:False
1,638849:3,18:1,02:False
1,651806:3,75:1,15:False
1,660684:4,1:1,28:False
1,668633:4,55:1,47:False
1,678868:5,06:1,72:False
1,692412:5,68:2,07:False
1,699197:5,98:2,26:False
1,709761:6,43:2,56:False
1,718188:6,71:2,77:False
1,726729:7,03:3,03:False
1,738006:7,39:3,37:False
1,744739:7,65:3,63:False
1,752945:7,95:3,95:False
1,759234:8,21:4,21:False
1,77899:9,04:5,11:False
1,786689:9,3:5,36:False
1,804543:10,22:6,37:False
1,817568:10,67:6,82:False
1,831661:10,95:7,1:False
1,839304:11,03:7,14:False
1,847302:11,07:7,18:False
1,863734:11,07:7,18:True
1,944364:11,1:7,18:True
1,963115:11,12:7,18:True
1,978281:11,16:7,18:False
2,005941:11,18:7,18:False
2,022845:11,22:7,18:False
2,027792:11,25:7,18:False
2,033706:11,27:7,2:False
2,041761:11,33:7,2:False
2,047447:11,4:7,25:False
2,053349:11,46:7,27:False
2,059203:11,48:7,27:False
2,066937:11,54:7,31:False
2,07262:11,59:7,33:False
2,078254:11,61:7,35:False
2,093301:11,65:7,35:False
2,1019:11,65:7,4:False
2,138537:11,65:7,4:True
2,229356:11,65:7,4:False
2,257284:11,63:7,4:False
2,266559:11,57:7,38:False
2,282199:11,29:7,29:False
2,290525:11,14:7,27:False
2,298784:10,99:7,23:False
2,307341:10,75:7,2:False
2,314363:10,6:7,16:False
2,320022:10,43:7,14:False
2,325595:10,28:7,1:False
2,332983:10,11:7,05:False
2,339605:9,92:7,01:False
2,345344:9,79:6,95:False
2,355306:9,62:6,91:False
2,361216:9,49:6,86:False
2,366362:9,4:6,8:False
2,37311:9,28:6,78:False
2,394197:8,98:6,56:False
2,399712:8,91:6,52:False
2,408964:8,76:6,41:False
2,415405:8,68:6,33:False
2,421293:8,57:6,22:False
2,42774:8,48:6,13:False
2,434409:8,4:6,07:False
2,441174:8,29:5,98:False
2,448637:8,21:5,86:False
2,454397:8,12:5,79:False
2,460434:8,06:5,73:False
2,471276:7,91:5,62:False
2,477191:7,84:5,58:False
2,493536:7,67:5,49:False
2,500629:7,56:5,49:False
2,507286:7,5:5,47:False
2,51228:7,48:5,47:False
2,517759:7,46:5,47:False
2,524065:7,41:5,47:False
2,534163:7,39:5,43:False
2,590567:7,35:5,43:False
2,595723:7,33:5,43:False
2,602169:7,26:5,45:False
2,609636:7,2:5,51:False
2,61669:7,11:5,54:False
2,622115:7,03:5,6:False
2,628034:6,96:5,62:False
2,633699:6,88:5,68:False
2,639032:6,81:5,71:False
2,646469:6,69:5,81:False
2,651672:6,56:5,88:False
2,658225:6,47:5,92:False
2,6752:6,19:6,05:False
2,680445:6,13:6,09:False
2,693357:5,96:6,18:False
2,699288:5,89:6,2:False
2,706277:5,83:6,24:False
2,711483:5,77:6,26:False
2,721193:5,68:6,35:False
2,728828:5,62:6,41:False
2,735244:5,59:6,46:False
2,740153:5,55:6,5:False
2,747363:5,53:6,56:False
2,753293:5,47:6,63:False
2,758219:5,44:6,69:False
2,764586:5,44:6,71:False
2,771258:5,38:6,78:False
2,799268:5,14:6,93:False
2,805448:5,08:6,97:False
2,810986:5,04:6,97:False
2,816635:4,97:6,97:False
2,824716:4,87:6,99:False
2,833775:4,74:6,99:False
2,844221:4,52:6,99:False
2,854603:4,35:6,95:False
2,862678:4,14:6,91:False
2,873135:3,88:6,84:False
2,881492:3,67:6,73:False
2,893628:3,37:6,63:False
2,905389:3,13:6,48:False
2,911438:3,03:6,41:False
2,917303:2,92:6,35:False
2,927535:2,77:6,26:False
2,937481:2,64:6,16:False
2,948281:2,55:6,11:False
2,955747:2,49:6,07:False
2,961812:2,45:6,05:False
2,970049:2,43:6,01:False
2,981323:2,4:5,98:False
2,993135:2,4:5,98:True
3,085031:2,4:5,98:False
3,111791:2,4:5,94:False
3,150834:2,36:5,94:False
3,160702:2,34:5,94:False
3,171636:2,28:5,94:False
3,179633:2,21:5,94:False
3,188015:2,15:5,94:False
3,195992:2,02:5,96:False
3,201557:1,98:5,98:False
3,212492:1,76:6,11:False
3,218504:1,63:6,18:False
3,227474:1,38:6,31:False
3,272301:0,78:7,03:False
3,291305:0,99:7,38:False
3,299369:1,25:7,53:False
3,30722:1,59:7,68:False
3,316308:1,98:7,83:False
3,321886:2,13:7,89:False
3,330069:2,7:8:False
3,336616:3,03:8,04:False
3,345425:3,41:8,13:False
3,351977:3,67:8,15:False
3,36119:3,88:8,19:False
3,369853:3,99:8,19:True
3,491602:4,03:8,19:False
3,49827:4,05:8,19:False
3,505758:4,16:8,19:False
3,511364:4,2:8,21:False
3,520471:4,37:8,21:False
3,526718:4,46:8,21:False
3,533516:4,61:8,21:False
3,542425:4,82:8,25:False
3,550106:5,04:8,25:False
